"Attribute Properties","Propriedades de atributo",module,Magento_Eav
"Default label","Etiqueta padrão",module,Magento_Eav
"Attribute Code","Código do Atributo",module,Magento_Eav
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Isso é usado internamente. Certifique-se de que você não use espaços ou mais de %1 símbolo(s).",module,Magento_Eav
"Catalog Input Type for Store Owner","Tipo de entrada no catálogo para o dono da loja",module,Magento_Eav
"Values Required","Valores necessários",module,Magento_Eav
"Default Value","Valor Padrão",module,Magento_Eav
"Unique Value","Valor Único",module,Magento_Eav
"Unique Value (not shared with other products)","Valor Único (não compartilhado com outros produtos)",module,Magento_Eav
"Not shared with other products","Não compartilhado com outros produtos",module,Magento_Eav
"Input Validation for Store Owner","Campo de Validação para o dono da loja",module,Magento_Eav
Required,Obrigatório,module,Magento_Eav
Yes,Sim,module,Magento_Eav
No,Não,module,Magento_Eav
System,Sistema,module,Magento_Eav
None,Nenhum,module,Magento_Eav
"Decimal Number","Número decimal",module,Magento_Eav
"Integer Number","Número inteiro",module,Magento_Eav
Email,E-mail,module,Magento_Eav
URL,URL,module,Magento_Eav
Letters,Letras,module,Magento_Eav
"Letters (a-z, A-Z) or Numbers (0-9)","Letras (a-z, A-Z) ou Números (0-9)",module,Magento_Eav
"Text Field","Campo de Texto",module,Magento_Eav
"Text Area","Área de Texto",module,Magento_Eav
Date,Data,module,Magento_Eav
Yes/No,Sim/Não,module,Magento_Eav
"Multiple Select","Múltipla Seleção",module,Magento_Eav
Dropdown,"Menu suspenso",module,Magento_Eav
"Input type ""%value%"" not found in the input types list.","O tipo de entrada ""%value%"" não foi encontrado na lista de tipos de entrada.",module,Magento_Eav
"Attribute object is undefined","Atributo de objeto não definido",module,Magento_Eav
"Entity object is undefined","O objeto da entidade é indefinido",module,Magento_Eav
"""%1"" invalid type entered.","""%1"" tipo inválido inserido.",module,Magento_Eav
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contém caracteres não-alfabéticos ou não-numéricos.",module,Magento_Eav
"""%1"" is an empty string.","""%1"" é uma seqüência vazia.",module,Magento_Eav
"""%1"" contains non-numeric characters.","""%1"" contém caracteres não-numéricos.",module,Magento_Eav
"""%1"" contains non-alphabetic characters.","""%1"" contém caracteres não-alfabéticos.",module,Magento_Eav
"""%1"" is not a valid email address.","""%1"" não é um endereço de email válido.",module,Magento_Eav
"""%1"" is not a valid hostname.","""%1"" não é um hostname válido.",module,Magento_Eav
"""%1"" uses too many characters.","""%1"" usa muitos caracteres.",module,Magento_Eav
"'%value%' looks like an IP address, which is not an acceptable format.","""%value%"" o formato do endereço de IP informado não é aceitável.",module,Magento_Eav
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' se parece com um nome de host DNS, mas nós não pudemos encontrar o TLD em uma lista conhecida.",module,Magento_Eav
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' se parece com um nome de host DNS, mas contém um traço em uma posição inválida.",module,Magento_Eav
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' se parece com um nome de host DNS, mas nós não podemos combiná-lo contra o esquema de nome de host para TLD '%tld%'.",module,Magento_Eav
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' se parece com um nome de host DNS, mas não pode extrair parte TLD.",module,Magento_Eav
"'%value%' does not look like a valid local network name.","'%value%' não se parece com um nome válido de rede local.",module,Magento_Eav
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' se parece com um nome de rede local, que não é um formato aceitável.",module,Magento_Eav
