"Delete Selected Problems","Excluir os problemas selecionados",module,Magento_Newsletter
"Unsubscribe Selected","Unsubscribe Selected",module,Magento_Newsletter
Back,Voltar,module,Magento_Newsletter
Reset,Reiniciar,module,Magento_Newsletter
"Preview Template","Visualizar template",module,Magento_Newsletter
"Save Newsletter","Salvar newsletter",module,Magento_Newsletter
"Save and Resume","Save e Continuar",module,Magento_Newsletter
"View Newsletter","Ver newsletter",module,Magento_Newsletter
"Edit Newsletter","Editar newsletter",module,Magento_Newsletter
"Queue Information","Informações da fila",module,Magento_Newsletter
"Queue Date Start","Queue Date Start",module,Magento_Newsletter
"Subscribers From","Assinantes de",module,Magento_Newsletter
Subject,Assunto,module,Magento_Newsletter
"Sender Name","Nome do remetente",module,Magento_Newsletter
"Sender Email","E-mail do remetente",module,Magento_Newsletter
Message,Mensagem,module,Magento_Newsletter
"Newsletter Styles","Newsletter Styles",module,Magento_Newsletter
Start,Ínicio,module,Magento_Newsletter
Pause,Pausar,module,Magento_Newsletter
"Do you really want to cancel the queue?","Do you really want to cancel the queue?",module,Magento_Newsletter
Cancel,Cancelar,module,Magento_Newsletter
Resume,Resumir,module,Magento_Newsletter
Preview,Pré-visualização,module,Magento_Newsletter
"Add New Template","Adicionar novo template",module,Magento_Newsletter
"Newsletter Templates","Modelos de newsletter",module,Magento_Newsletter
"Convert to Plain Text","Converter para texto sem formatação",module,Magento_Newsletter
"Return HTML Version","Retornar a versão HTML",module,Magento_Newsletter
"Delete Template","Excluir Template",module,Magento_Newsletter
"Save As","Salvar como",module,Magento_Newsletter
"Save Template","Salvar Template",module,Magento_Newsletter
"Edit Newsletter Template","Editar modelo de newsletter",module,Magento_Newsletter
"New Newsletter Template","Novo modelo de newsletter",module,Magento_Newsletter
"Template Information","Informações do template",module,Magento_Newsletter
"Template Name","Nome do template",module,Magento_Newsletter
"Template Subject","Assunto do Template",module,Magento_Newsletter
"Template Content","Conteúdo do Template",module,Magento_Newsletter
"Template Styles","Estilos de template",module,Magento_Newsletter
"No Templates Found","Nenhum modelo foi encontrado",module,Magento_Newsletter
ID,ID,module,Magento_Newsletter
Template,Template,module,Magento_Newsletter
Added,Adicionado,module,Magento_Newsletter
Updated,Atualizado,module,Magento_Newsletter
Sender,Remetente,module,Magento_Newsletter
"Template Type","Tipo de modelo",module,Magento_Newsletter
Action,Ação,module,Magento_Newsletter
"Queue Newsletter","Queue Newsletter",module,Magento_Newsletter
"We unsubscribed the people you identified.","We unsubscribed the people you identified.",module,Magento_Newsletter
"The problems you identified have been deleted.","The problems you identified have been deleted.",module,Magento_Newsletter
"Newsletter Problems Report","Newsletter Problems Report",module,Magento_Newsletter
"Newsletter Problem Reports","Newsletter Problem Reports",module,Magento_Newsletter
"Newsletter Queue","Newsletter Queue",module,Magento_Newsletter
"Edit Queue","Edit Queue",module,Magento_Newsletter
"Please correct the newsletter template and try again.","Please correct the newsletter template and try again.",module,Magento_Newsletter
"You saved the newsletter queue.","You saved the newsletter queue.",module,Magento_Newsletter
"Newsletter Subscribers","Newsletter Subscribers",module,Magento_Newsletter
Newsletter,Newsletter,module,Magento_Newsletter
Subscribers,Subscribers,module,Magento_Newsletter
"Please select one or more subscribers.","Please select one or more subscribers.",module,Magento_Newsletter
"Total of %1 record(s) were deleted.","Total of %1 record(s) were deleted.",module,Magento_Newsletter
"A total of %1 record(s) were updated.","Um total de %1 registro(s) foram atualizados.",module,Magento_Newsletter
"The newsletter template has been deleted.","The newsletter template has been deleted.",module,Magento_Newsletter
"We can't delete this template right now.","We can't delete this template right now.",module,Magento_Newsletter
"Edit Template","Editar Template",module,Magento_Newsletter
"New Template","Novo template",module,Magento_Newsletter
"Create Newsletter Template","Create Newsletter Template",module,Magento_Newsletter
"The newsletter template has been saved.","The newsletter template has been saved.",module,Magento_Newsletter
"Something went wrong while saving this template.","Something went wrong while saving this template.",module,Magento_Newsletter
"Newsletter Subscription","Assinar Newsletter",module,Magento_Newsletter
"Something went wrong while saving your subscription.","Something went wrong while saving your subscription.",module,Magento_Newsletter
"We saved the subscription.","We saved the subscription.",module,Magento_Newsletter
"We removed the subscription.","We removed the subscription.",module,Magento_Newsletter
"Your subscription has been confirmed.","Your subscription has been confirmed.",module,Magento_Newsletter
"This is an invalid subscription confirmation code.","This is an invalid subscription confirmation code.",module,Magento_Newsletter
"This is an invalid subscription ID.","This is an invalid subscription ID.",module,Magento_Newsletter
"This email address is already assigned to another user.","This email address is already assigned to another user.",module,Magento_Newsletter
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.",module,Magento_Newsletter
"Please enter a valid email address.","Por favor, insira um endereço de e-mail válido.",module,Magento_Newsletter
"The confirmation request has been sent.","The confirmation request has been sent.",module,Magento_Newsletter
"Thank you for your subscription.","Thank you for your subscription.",module,Magento_Newsletter
"There was a problem with the subscription: %1","There was a problem with the subscription: %1",module,Magento_Newsletter
"Something went wrong with the subscription.","Something went wrong with the subscription.",module,Magento_Newsletter
"You unsubscribed.","You unsubscribed.",module,Magento_Newsletter
"Something went wrong while unsubscribing you.","Something went wrong while unsubscribing you.",module,Magento_Newsletter
Sent,Enviado,module,Magento_Newsletter
Cancelled,Cancelled,module,Magento_Newsletter
"Not Sent","Não Enviado",module,Magento_Newsletter
Sending,Enviando,module,Magento_Newsletter
Paused,Pausado,module,Magento_Newsletter
"There are no subscribers selected.","There are no subscribers selected.",module,Magento_Newsletter
"You selected an invalid queue.","You selected an invalid queue.",module,Magento_Newsletter
"We cannot mark as received subscriber.","We cannot mark as received subscriber.",module,Magento_Newsletter
"Duplicate template code","Duplicate template code",module,Magento_Newsletter
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>",module,Magento_Newsletter
"Choose Store View:","Choose Store View:",module,Magento_Newsletter
"Newsletter Message Preview","Newsletter Message Preview",module,Magento_Newsletter
"Add to Queue","Add to Queue",module,Magento_Newsletter
"Are you sure that you want to strip all tags?","Are you sure that you want to strip all tags?",module,Magento_Newsletter
"Please enter a new template name.","Please enter a new template name.",module,Magento_Newsletter
" Copy"," Copy",module,Magento_Newsletter
"Are you sure you want to delete this template?","Você tem certeza que quer excluir este modelo?",module,Magento_Newsletter
"Sign Up for Our Newsletter:","Sign Up for Our Newsletter:",module,Magento_Newsletter
"Enter your email address","Digite seu email",module,Magento_Newsletter
Subscribe,Assinar,module,Magento_Newsletter
"Thank you for subscribing to our newsletter.","Thank you for subscribing to our newsletter.",module,Magento_Newsletter
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:",module,Magento_Newsletter
"You have been successfully subscribed to our newsletter.","You have been successfully subscribed to our newsletter.",module,Magento_Newsletter
"You have been unsubscribed from the newsletter.","You have been unsubscribed from the newsletter.",module,Magento_Newsletter
"Subscription Options","Opções de assinaturas",module,Magento_Newsletter
"Allow Guest Subscription","Allow Guest Subscription",module,Magento_Newsletter
"Need to Confirm","Need to Confirm",module,Magento_Newsletter
"Confirmation Email Sender","Confirmation Email Sender",module,Magento_Newsletter
"Confirmation Email Template","Confirmation Email Template",module,Magento_Newsletter
"Email template chosen based on theme fallback when ""Default"" option is selected.","O modelo de e-mail escolhido baseado no tema ""fallback"" quando a opção ""Padrão"" é selecionada.",module,Magento_Newsletter
"Success Email Sender","Success Email Sender",module,Magento_Newsletter
"Success Email Template","Success Email Template",module,Magento_Newsletter
"Unsubscription Email Sender","Unsubscription Email Sender",module,Magento_Newsletter
"Unsubscription Email Template","Unsubscription Email Template",module,Magento_Newsletter
"We found no problems.","We found no problems.",module,Magento_Newsletter
Subscriber,Assinante,module,Magento_Newsletter
"Queue Start Date","Queue Start Date",module,Magento_Newsletter
"Queue Subject","Queue Subject",module,Magento_Newsletter
"Error Code","Código de erro",module,Magento_Newsletter
"Error Text","Texto de erro",module,Magento_Newsletter
"Queue Start","Queue Start",module,Magento_Newsletter
"Queue End","Queue End",module,Magento_Newsletter
Status,Status,module,Magento_Newsletter
Processed,Processado,module,Magento_Newsletter
Recipients,Destinatários,module,Magento_Newsletter
Unsubscribe,Unsubscribe,module,Magento_Newsletter
Delete,Excluir,module,Magento_Newsletter
CSV,CSV,module,Magento_Newsletter
"Excel XML","Excel, XML",module,Magento_Newsletter
Email,E-mail,module,Magento_Newsletter
Type,Tipo,module,Magento_Newsletter
Guest,Visitante,module,Magento_Newsletter
Customer,Cliente,module,Magento_Newsletter
"Customer First Name","Nome do cliente",module,Magento_Newsletter
"Customer Last Name","Sobrenome do cliente",module,Magento_Newsletter
"Not Activated","Not Activated",module,Magento_Newsletter
Subscribed,Subscribed,module,Magento_Newsletter
Unsubscribed,Unsubscribed,module,Magento_Newsletter
Unconfirmed,"Não confirmados",module,Magento_Newsletter
"Web Site",Website,module,Magento_Newsletter
Store,Loja,module,Magento_Newsletter
"Store View","Visão de Loja",module,Magento_Newsletter
"Newsletter Subscriptions","Newsletter Subscriptions",module,Magento_Newsletter
