Back,Voltar,module,Magento_User
Reset,Reiniciar,module,Magento_User
"Delete Role","Apagar Permissão",module,Magento_User
"Are you sure you want to do this?","Você tem que deseja fazer isso?",module,Magento_User
"Save Role","Salvar Permissão",module,Magento_User
Roles,Permissões,module,Magento_User
"Add New Role","Adicionar Nova Permissão",module,Magento_User
"Role Information","Informação de Permissão",module,Magento_User
"Role Users","Permissões a Usuários",module,Magento_User
"User ID","ID de Usuário",module,Magento_User
"User Name","Nome de Usuário",module,Magento_User
"First Name",Nome,module,Magento_User
"Last Name",Sobrenome,module,Magento_User
Email,E-mail,module,Magento_User
Status,Status,module,Magento_User
Active,Ativo,module,Magento_User
Inactive,Inativo,module,Magento_User
"Role Resources","Permissões a Recursos",module,Magento_User
"Role Info","Informação de Permissão",module,Magento_User
"Role Name","Nome da Permissão",module,Magento_User
"Add New User","Adicionar Novo Usuário",module,Magento_User
Users,Usuário,module,Magento_User
"Save User","Salvar Usuário",module,Magento_User
"Delete User","Apagar Usuário",module,Magento_User
"Are you sure you want to revoke the user's tokens?","Tem certeza que deseja revogar os tokens do cliente?",module,Magento_User
"Force Sign-In","Forçar a entrada",module,Magento_User
"Edit User '%1'","Editar Usuário '%1'",module,Magento_User
"New User","Novo Usuário",module,Magento_User
"Account Information","Informações da Conta",module,Magento_User
"User Email","E-mail de Usuário",module,Magento_User
Password,Senha,module,Magento_User
"New Password","Nova Senha",module,Magento_User
"Password Confirmation","Confirmação de Senha",module,Magento_User
"Interface Locale","Idioma da interface",module,Magento_User
"This account is","Esta conta é",module,Magento_User
"Account Status","Status da Conta",module,Magento_User
"Current User Identity Verification","Verificação de identidade do usuário atual",module,Magento_User
"Your Password","Sua Senha",module,Magento_User
"User Roles Information","Informações das Permissões do Usuário",module,Magento_User
Assigned,Atribuído,module,Magento_User
Role,Função,module,Magento_User
"User Information","Informações do Usuário",module,Magento_User
"User Info","Informações de Usuário",module,Magento_User
"User Role","Permissão de Usuário",module,Magento_User
"Please correct the password reset token.","Por favor, corrija o token de redefinição de senha.",module,Magento_User
"Please specify the correct account and try again.","Por favor, especifique a conta correta e tente novamente.",module,Magento_User
"Your password reset link has expired.","Seu link de redefinição de senha expirou.",module,Magento_User
"We'll email you a link to reset your password.","Enviaremos um e-mail para você contendo um link para redefinição de senha.",module,Magento_User
"Please correct this email address:","Por favor, corrija este endereço de e-mail:",module,Magento_User
"Please enter an email address.","Por favor, preencha um endereço de e-mail.",module,Magento_User
